"// Put semicolon-separated tenors to be excluded from curve to the 3rd column. E.g. 1W or 1W;6M,,,,,,,,,"
// Use tenor format of the target curve,,,,,,,,,
SOURCE_CURVE,TARGET_CURVE,TENORS_TO_EXCLUDE,,,,,,,
EUR_DISCOUNTING_OIS,IR.EUR-EONIA-ON,,,,,,,,
EUR_DISCOUNTING_ESTR,IR.EUR-ESTR-ON,,,,,,,,
EUR_FORWARD_ESTR,IR.EUR-ESTR-ON.PROJECTION,,,,,,,,
EUR_DISCOUNTING_LIBOR,IR.EUR-EURIBOR-DISCOUNTING,,,,,,,,
EUR_FORWARD_1M,IR.EUR-EURIBOR-1M,,,,,,,,
EUR_FORWARD_3M,IR.EUR-EURIBOR-3M,,,,,,,,
EUR_FORWARD_6M,IR.EUR-EURIBOR-6M,,,,,,,,
EUR_FORWARD_1Y,IR.EUR-EURIBOR-1Y,,,,,,,,
EUR_FORWARD_1Y,IR.EUR-EURIBOR-12M,,,,,,,,
EUR SW VOL 6M,IR.EUR-EURIBOR-6M,,,,,,,,
,,,,,,,,,
USD_DISCOUNTING_OIS,IR.USD-FEDFUNDS-ON,,,,,,,,
USD_DISCOUNTING_SOFR,IR.USD-SOFR-ON,,,,,,,,
USD_FORWARD_SOFR,IR.USD-SOFR-ON.PROJECTION,,,,,,,,
USD_FORWARD_1M,IR.USD-LIBOR-1M,,,,,,,,
USD_FORWARD_3M,IR.USD-LIBOR-3M,,,,,,,,
USD_FORWARD_6M,IR.USD-LIBOR-6M,,,,,,,,
USD_FORWARD_1Y,IR.USD-LIBOR-1Y,,,,,,,,
USD_DISCOUNTING_BASIS,IR.USD-LIBOR-3M/EUR-EURIBOR-3M_EONIA,,,,,,,,
USD_DISCOUNTING_BASIS_ESTR,IR.USD-SOFR-ON/EUR-ESTR-ON_ESTR,,,,,,,,
USD SW VOL,IR.USD-LIBOR-3M,,,,,,,,
,,,,,,,,,
GBP_DISCOUNTING_OIS,IR.GBP-SONIA-ON,,,,,,,,
GBP_FORWARD_1D,IR.GBP-SONIA-ON.PROJECTION,,,,,,,,
GBP_FORWARD_1M,IR.GBP-LIBOR-1M,,,,,,,,
GBP_FORWARD_3M,IR.GBP-LIBOR-3M,,,,,,,,
GBP_FORWARD_6M,IR.GBP-LIBOR-6M,,,,,,,,
GBP_DISCOUNTING_BASIS,IR.GBP-LIBOR-3M/USD-LIBOR-3M_EONIA,,,,,,,,
GBP_DISCOUNTING_BASIS_ESTR,IR.GBP-SONIA-ON/USD-SOFR-ON_ESTR,,,,,,,,
