Index,Date,Fixing
CHF-LIBOR-12M,01-apr-19,-0.004978
CHF-LIBOR-12M,01-apr-20,-0.004224
CHF-LIBOR-12M,01-apr-21,-0.00595
CHF-LIBOR-12M,01-apr-22,-0.005532
CHF-LIBOR-12M,01-apr-24,-0.005532
CHF-LIBOR-12M,01-Aug-2019,-0.00633
CHF-LIBOR-12M,01-Aug-2022,-0.005532
CHF-LIBOR-12M,01-Aug-2023,-0.005532
CHF-LIBOR-12M,01-Dec-2020,-0.006132
CHF-LIBOR-12M,01-Dec-2021,-0.005864
CHF-LIBOR-12M,01-Dec-2022,-0.005532
CHF-LIBOR-12M,01-Dec-2023,-0.005532
CHF-LIBOR-12M,01-feb-19,-0.005152
CHF-LIBOR-12M,01-feb-21,-0.006124
CHF-LIBOR-12M,01-feb-22,-0.005532
CHF-LIBOR-12M,01-feb-23,-0.005532
CHF-LIBOR-12M,01-feb-24,-0.005532
CHF-LIBOR-12M,01-Jan-2020,-0.004812
CHF-LIBOR-12M,01-Jan-2021,-0.006104
CHF-LIBOR-12M,01-Jan-2024,-0.005532
CHF-LIBOR-12M,01-Jul-2019,-0.005868
CHF-LIBOR-12M,01-Jul-2020,-0.004714
CHF-LIBOR-12M,01-Jul-2021,-0.005902
CHF-LIBOR-12M,01-Jul-2022,-0.005532
CHF-LIBOR-12M,01-Jun-2020,-0.004896
CHF-LIBOR-12M,01-Jun-2021,-0.005904
CHF-LIBOR-12M,01-Jun-2022,-0.005532
CHF-LIBOR-12M,01-Jun-2023,-0.005532
CHF-LIBOR-12M,01-mar-19,-0.005052
CHF-LIBOR-12M,01-mar-21,-0.00578
CHF-LIBOR-12M,01-mar-22,-0.005532
CHF-LIBOR-12M,01-mar-23,-0.005532
CHF-LIBOR-12M,01-mar-24,-0.005532
CHF-LIBOR-12M,01-May-2019,-0.005134
CHF-LIBOR-12M,01-May-2020,-0.004558
CHF-LIBOR-12M,01-May-2023,-0.005532
CHF-LIBOR-12M,01-nov-18,-0.005322
CHF-LIBOR-12M,01-nov-19,-0.005338
CHF-LIBOR-12M,01-nov-21,-0.005426
CHF-LIBOR-12M,01-nov-22,-0.005532
CHF-LIBOR-12M,01-nov-23,-0.005532
CHF-LIBOR-12M,01-Oct-2019,-0.006096
CHF-LIBOR-12M,01-Oct-2020,-0.00599
CHF-LIBOR-12M,01-Oct-2021,-0.00584
CHF-LIBOR-12M,01-Sep-2020,-0.00527
CHF-LIBOR-12M,01-Sep-2021,-0.005992
CHF-LIBOR-12M,01-Sep-2022,-0.005532
CHF-LIBOR-12M,01-Sep-2023,-0.005532
CHF-LIBOR-12M,02-apr-19,-0.005
CHF-LIBOR-12M,02-apr-20,-0.004208
CHF-LIBOR-12M,02-apr-21,-0.00595
CHF-LIBOR-12M,02-apr-24,-0.005532
CHF-LIBOR-12M,02-Aug-2019,-0.006414
CHF-LIBOR-12M,02-Aug-2021,-0.005972
CHF-LIBOR-12M,02-Aug-2022,-0.005532
CHF-LIBOR-12M,02-Aug-2023,-0.005532
CHF-LIBOR-12M,02-Dec-2019,-0.005176
CHF-LIBOR-12M,02-Dec-2020,-0.006112
CHF-LIBOR-12M,02-Dec-2021,-0.00585
CHF-LIBOR-12M,02-Dec-2022,-0.005532
CHF-LIBOR-12M,02-feb-21,-0.00612
CHF-LIBOR-12M,02-feb-22,-0.005532
CHF-LIBOR-12M,02-feb-23,-0.005532
CHF-LIBOR-12M,02-feb-24,-0.005532
CHF-LIBOR-12M,02-Jan-2019,-0.005008
CHF-LIBOR-12M,02-Jan-2020,-0.004758
CHF-LIBOR-12M,02-Jan-2023,-0.005532
CHF-LIBOR-12M,02-Jan-2024,-0.005532
CHF-LIBOR-12M,02-Jul-2019,-0.005954
CHF-LIBOR-12M,02-Jul-2020,-0.00476
CHF-LIBOR-12M,02-Jul-2021,-0.005908
CHF-LIBOR-12M,02-Jun-2020,-0.004656
CHF-LIBOR-12M,02-Jun-2021,-0.005908
CHF-LIBOR-12M,02-Jun-2022,-0.005532
CHF-LIBOR-12M,02-Jun-2023,-0.005532
CHF-LIBOR-12M,02-mar-20,-0.00655
CHF-LIBOR-12M,02-mar-21,-0.005822
CHF-LIBOR-12M,02-mar-22,-0.005532
CHF-LIBOR-12M,02-mar-23,-0.005532
CHF-LIBOR-12M,02-May-2019,-0.005142
CHF-LIBOR-12M,02-May-2022,-0.005532
CHF-LIBOR-12M,02-May-2023,-0.005532
CHF-LIBOR-12M,02-nov-18,-0.005322
CHF-LIBOR-12M,02-nov-20,-0.00624
CHF-LIBOR-12M,02-nov-21,-0.005506
CHF-LIBOR-12M,02-nov-22,-0.005532
CHF-LIBOR-12M,02-nov-23,-0.005532
CHF-LIBOR-12M,02-Oct-2019,-0.00614
CHF-LIBOR-12M,02-Oct-2020,-0.005998
CHF-LIBOR-12M,02-Oct-2023,-0.005532
CHF-LIBOR-12M,02-Sep-2019,-0.007498
CHF-LIBOR-12M,02-Sep-2020,-0.005428
CHF-LIBOR-12M,02-Sep-2021,-0.005972
CHF-LIBOR-12M,02-Sep-2022,-0.005532
CHF-LIBOR-12M,03-apr-19,-0.004996
CHF-LIBOR-12M,03-apr-20,-0.004194
CHF-LIBOR-12M,03-apr-23,-0.005532
CHF-LIBOR-12M,03-apr-24,-0.005532
CHF-LIBOR-12M,03-Aug-2020,-0.005262
CHF-LIBOR-12M,03-Aug-2021,-0.005986
CHF-LIBOR-12M,03-Aug-2022,-0.005532
CHF-LIBOR-12M,03-Aug-2023,-0.005532
CHF-LIBOR-12M,03-Dec-2018,-0.005298
CHF-LIBOR-12M,03-Dec-2019,-0.00519
CHF-LIBOR-12M,03-Dec-2020,-0.006136
CHF-LIBOR-12M,03-Dec-2021,-0.00583
CHF-LIBOR-12M,03-feb-20,-0.005096
CHF-LIBOR-12M,03-feb-21,-0.006114
CHF-LIBOR-12M,03-feb-22,-0.005532
CHF-LIBOR-12M,03-feb-23,-0.005532
CHF-LIBOR-12M,03-Jan-2019,-0.004974
CHF-LIBOR-12M,03-Jan-2020,-0.004962
CHF-LIBOR-12M,03-Jan-2022,-0.005532
CHF-LIBOR-12M,03-Jan-2023,-0.005532
CHF-LIBOR-12M,03-Jan-2024,-0.005532
CHF-LIBOR-12M,03-Jul-2019,-0.005994
CHF-LIBOR-12M,03-Jul-2020,-0.004802
CHF-LIBOR-12M,03-Jul-2023,-0.005532
CHF-LIBOR-12M,03-Jun-2019,-0.005206
CHF-LIBOR-12M,03-Jun-2020,-0.004646
CHF-LIBOR-12M,03-Jun-2021,-0.005912
CHF-LIBOR-12M,03-Jun-2022,-0.005532
CHF-LIBOR-12M,03-mar-20,-0.006356
CHF-LIBOR-12M,03-mar-21,-0.00584
CHF-LIBOR-12M,03-mar-22,-0.005532
CHF-LIBOR-12M,03-mar-23,-0.005532
CHF-LIBOR-12M,03-May-2019,-0.005152
CHF-LIBOR-12M,03-May-2021,-0.005904
CHF-LIBOR-12M,03-May-2022,-0.005532
CHF-LIBOR-12M,03-May-2023,-0.005532
CHF-LIBOR-12M,03-nov-20,-0.006244
CHF-LIBOR-12M,03-nov-21,-0.005586
CHF-LIBOR-12M,03-nov-22,-0.005532
CHF-LIBOR-12M,03-nov-23,-0.005532
CHF-LIBOR-12M,03-Oct-2019,-0.006162
