REF_DATE,NDG,NSG,LABEL_CTP,DEALID,TRADEID,START_DATE,MATURITY,CURRENCY1,CURRENCY2,NPV
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1429741",1429741,"2024/01/16","2024/05/22","EUR","USD",-115966.91504640318
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1431287",1431287,"2024/01/23","2024/05/22","EUR","USD",164866.79043213185
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1433806",1433806,"2024/02/01","2024/05/22","EUR","USD",86154.13264649361
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1437267",1437267,"2024/02/20","2024/05/22","EUR","USD",68452.79309654795
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1441355",1441355,"2024/03/07","2024/05/22","EUR","USD",-102225.08565894514
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1441953",1441953,"2024/03/08","2024/05/22","EUR","USD",138326.50184633583
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1443227",1443227,"2024/03/14","2024/05/22","EUR","USD",-94538.97769646905
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1447638",1447638,"2024/04/03","2024/05/22","EUR","USD",82327.33745803218
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1448082",1448082,"2024/04/05","2024/05/22","EUR","USD",-84749.62602802459
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1448249",1448249,"2024/04/05","2024/05/22","EUR","USD",-57363.82049375679
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1449238",1449238,"2024/04/11","2024/05/22","EUR","USD",-19445.687878872268
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1449760",1449760,"2024/04/12","2024/05/22","EUR","USD",-27285.90862978436
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1450180",1450180,"2024/04/15","2024/05/22","EUR","USD",28683.382804779336
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1451060",1451060,"2024/04/18","2024/05/22","EUR","USD",19599.80066730734
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1451728",1451728,"2024/04/22","2024/05/22","EUR","USD",-35670.75367975887
"2024/04/30",10468526,0001046852692000,"DAMICO FINANCE D.A.C.","0-1452066",1452066,"2024/04/23","2024/05/22","EUR","USD",442.3832467542961
"2024/04/30",10477082,0001047708215000,"TORINO FASHION VILLAGE SRL","0-103487677",103487677,"2024/03/27","2026/12/18","EUR","",-183494.24758761426
"2024/04/30",10477082,0001047708215000,"TORINO FASHION VILLAGE SRL","21650103-35799902",35799902,"2020/07/18","2024/12/18","EUR","",-551459.5499954968
"2024/04/30",10477082,0001047708215000,"TORINO FASHION VILLAGE SRL","30018263-45586159",45586159,"2022/03/01","2024/12/18","EUR","",-183819.8499486302
"2024/04/30",10792097,0001079209771000,"KEURIG DR PEPPER INC.","0-103601626",103601626,"2024/04/04","2035/01/04","USD","USD",13152.431398752293
"2024/04/30",10792097,0001079209771000,"KEURIG DR PEPPER INC.","0-103601879",103601879,"2024/04/04","2035/01/04","USD","USD",13152.431398752293
"2024/04/30",10805984,0001080598487000,"PRO.GE.A. SRL","21689647-35829561",35829561,"2020/07/18","2024/12/31","EUR","EUR",-4567.305610807939
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","21774336-35900785",35900785,"2020/07/18","2024/06/10","EUR","EUR",-364822.69443657313
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","21774336-35900788",35900788,"2020/07/18","2024/06/10","EUR","",0
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","21776555-35902480",35902480,"2020/07/18","2024/06/10","EUR","EUR",-53475.97962847584
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","21776555-35902481",35902481,"2020/07/18","2024/06/10","EUR","",0
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","22681339-36800552",36800552,"2020/09/24","2026/06/30","EUR","EUR",-719411.1739908224
"2024/04/30",10810014,0001081001443000,"GIOCHI PREZIOSI S.P.A.","22681339-36800553",36800553,"2020/09/24","2026/06/30","EUR","",-0.7497003185109052
"2024/04/30",11029259,0001102925968000,"MARTINI S.P.A.","21691501-35830951",35830951,"2020/07/18","2028/06/30","EUR","EUR",-230867.87746851443
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625516",102625516,"2024/02/06","2024/07/29","JPY","EUR",355.86437710184765
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625529",102625529,"2024/02/06","2024/08/28","JPY","EUR",747.9955064057035
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625535",102625535,"2024/02/06","2024/05/29","JPY","EUR",2.241327326883975
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625538",102625538,"2024/02/06","2024/05/29","JPY","EUR",-26044.032015617144
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625547",102625547,"2024/02/06","2024/08/28","JPY","EUR",747.9969653651702
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625554",102625554,"2024/02/06","2024/06/26","JPY","EUR",-25142.686665089925
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625557",102625557,"2024/02/06","2024/08/28","JPY","EUR",-23723.98593222312
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625569",102625569,"2024/02/06","2024/08/28","JPY","EUR",747.9384535535734
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625573",102625573,"2024/02/06","2024/06/26","JPY","EUR",81.4657532493477
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625581",102625581,"2024/02/06","2024/08/28","JPY","EUR",747.987013388043
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625585",102625585,"2024/02/06","2024/07/29","JPY","EUR",-24307.334766362223
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625595",102625595,"2024/02/06","2024/06/26","USD","EUR",8149.493978774207
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625598",102625598,"2024/02/06","2024/06/26","USD","EUR",8223.170587182918
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625604",102625604,"2024/02/06","2024/06/26","USD","EUR",-9016.722639406504
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625607",102625607,"2024/02/06","2024/06/26","USD","EUR",8073.72299422308
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625610",102625610,"2024/02/06","2024/06/26","USD","EUR",8001.027474428429
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625617",102625617,"2024/02/06","2024/05/29","USD","EUR",6274.683026894611
"2024/04/30",11154450,0001115445032000,"VALENTINO S.P.A","0-102625623",102625623,"2024/02/06","2024/05/29","USD","EUR",-5932.4885673709405
